"Negocio ID","Nombre del negocio","Tipo de mercado","Probabilidad de Cierre","Consumo mensual","Etapa del negocio","Propietario del negocio","Subautopista","Fecha de creación","Última actividad","Fecha de cierre","Tiempo en la etapa actual","Fecha de la siguiente actividad","Costo de adquisición","Costo de instalación total","Costo Equipos","Costo de los intereses","Costo total","Costo Total Equipos + Intereses","Inversión del cliente","Tiene renting","Costo mensual renting","Payback Limite","Payback","Actualizar payback","Negocio ID"
"48272232105","NUCLEOS E INVERSIONES FORESTALES DE COLOMBIA S A ","No regulado","Bajo","(Sin valor)","Carta de intención (Sales MNR)","María Paula Pico Loaiza","Bia Network","2025-11-04 17:07","2026-02-26 16:10","2026-06-30 18:02","2256:46:45","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48272232105"
"48279037455","HOTEL PUERTA DE SOL S.A","No regulado","Bajo","(Sin valor)","Reunión agendada (Sales MNR)","María Paula Pico Loaiza","Partnerships","2025-10-21 00:00","2026-05-01 09:09","2026-05-31 23:25","2950:25:55","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","Sí","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48279037455"
"48286878075","CASINOS Y SERVICIOS DEL CARIBE S.A - HOTEL BOLIVAR","No regulado","Bajo","(Sin valor)","Reunión agendada (Sales MNR)","María Paula Pico Loaiza","Partnerships","2025-10-21 00:00","2026-05-01 09:09","2026-05-31 23:24","2950:25:55","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","Sí","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","48286878075"
"48357692047","Drinks de Colombia S.A.S","No regulado","Bajo","1163797.5","Análisis comercial (Sales MNR)","Alexandra Murillo Fagua","Bia Network","2025-11-05 11:57","2026-04-22 08:00","2026-06-30 17:24","2950:24:36","(Sin valor)","133836770","5061431","24467847.68645094","(Sin valor)","138898201","(Sin valor)","0","Sí","706998.4589","(Sin valor)","3.27041625","(Sin valor)","48357692047"
"48755614799","✅ Urbaser Succion & Carga","Regulado","(Sin valor)","3287","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referrals","2025-04-16 00:00","2026-05-29 09:04","2026-06-30 19:19","4855:23:14","(Sin valor)","378005","1119537","546184.46097941","208860.93787853","1497542","755045.39885793","1341557.64571541","No","15782","6","14.83543687","(Sin valor)","48755614799"
"48757613391","✅ Urbaser Descont","Regulado","(Sin valor)","5976","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referrals","2025-04-16 00:00","2026-05-29 09:13","2026-06-30 19:19","4855:23:14","(Sin valor)","687240","5227178","2243449.97508219","857895.27047143","5914418","3101345.24555362","7215438.94785831","No","64824.48703","6","30.0471307","(Sin valor)","48757613391"
"48785928254","✅ Urbaser Tunja S.A E.S.P.","Regulado","(Sin valor)","22781.5","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referrals","2025-04-16 00:00","2026-05-29 09:15","2026-06-30 19:19","4855:23:14","(Sin valor)","2619815","5945184","2243449.97508219","857895.27047143","8564999","3101345.24555362","2256884.34971546","No","64824.48703","6","7.43911619","(Sin valor)","48785928254"
"48786960256","✅ Urbaser Colombia Colombia","Regulado","Bajo","85684.5","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referido interno","2025-03-17 00:00","2026-05-29 09:03","2026-06-30 19:20","4855:23:14","(Sin valor)","9853430","39505480.87","36642642.95345215","14012146.6654001","49358910.87","50654789.61885226","74644866.04432245","No","1058789.16814","6","23.65430719","(Sin valor)","48786960256"
"48788668568","✅ Urbaser Duitama S.A. E.S.P","Regulado","(Sin valor)","1989","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referrals","2025-04-16 00:00","2026-05-29 09:06","2026-06-30 19:19","4855:23:14","(Sin valor)","228735","1459729","546184.46097941","208860.93787853","1688464","755045.39885793","1621973.21814497","No","15782","6","17.84590471","(Sin valor)","48788668568"
"48837683995","❗️✅ Urbaser Popayán S.A E.S.P.","Regulado","(Sin valor)","(Sin valor)","Reunión agendada (Sales MR)","Silvia Milena Uribe Gutierrez","Referrals","2025-04-16 00:00","2026-05-29 09:00","2026-06-30 19:18","4847:38:11","(Sin valor)","2885925","10888656","(Sin valor)","(Sin valor)","13774581","(Sin valor)","0","No","543425.3971","(Sin valor)","(Sin valor)","(Sin valor)","48837683995"
"49607995556","CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR","Regulado","Bajo","95618.5","Análisis comercial (Sales MR)","Sebastian Mazorra Gomez","Referido interno","2025-11-18 10:49","2026-05-22 14:49","2026-06-30 08:28","1641:21:28","(Sin valor)","10995840","30536444","12442289.2583492","4108897.07979983","41532284","14853920.82404624","23037894.07718012","No","310477.46109","9","14.77687774","(Sin valor)","49607995556"
"49708567135","LANDERS Y CIA SAS","No regulado","Bajo","(Sin valor)","Reunión agendada (Sales MNR)","María Paula Pico Loaiza","Bia Network","2025-11-21 10:47","2026-02-09 09:02","2026-06-30 15:06","2950:25:55","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","49708567135"
"49710608174","Fitness people CMD SAS","Regulado","(Sin valor)","18697","Reunión agendada (Sales MR)","Andrés Toro García","Bia Network","2025-11-21 10:12","2026-05-18 09:10","2026-05-28 07:49","2779:54:05","(Sin valor)","2149925","10057902.84","43966124.33933207","(Sin valor)","12207827.84","(Sin valor)","6385049.58453602","Sí","225014.97406","6","12.57938459","(Sin valor)","49710608174"
"49718989938","DISTRIZAPATOS S.A.S.","Regulado","Bajo","196795.165","Reunión efectiva (Sales MR)","Juan Pablo Blanco Lugo","Bia Network","2025-11-20 10:25","2026-05-22 10:32","2026-05-31 07:23","4296:23:33","(Sin valor)","22628320","177106158","68801025.67364596","26309512.21760219","199734478","95110537.89124817","123163442.15439461","No","1988005.63684","18","30.91310366","(Sin valor)","49718989938"
"50443162648","ALGAMAR SA ","Regulado","Bajo","41885.44","Análisis comercial (Sales MR)","Andrés Toro García","BDR","2025-11-25 09:22","2026-05-29 08:39","2026-05-12 07:48","2572:34:53","(Sin valor)","4816775","11051205","13066648.10624675","4996686.23582876","15867980","18063334.34207552","0","Sí","377560.79703","15","10.61512862","(Sin valor)","50443162648"
"50468182560","Florius Flowers","Regulado","Medio","77165","Análisis comercial (Sales MR)","Daniela Dueñas Camacho","Performance","2025-11-26 09:50","2026-05-29 09:32","2026-06-30 17:09","3485:58:37","2026-06-02 17:00","4629900","12148580","13066648.10624675","4996686.23582876","16778480","18063334.34207552","0","Sí","377560.79703","12","6.57602911","(Sin valor)","50468182560"
"50513280053","EDIFICIO TORRE CUSEZAR - PROPIEDAD HORIZONTAL ","Regulado","Bajo","150000","Análisis comercial (Sales MR)","Andrés Toro García","Awareness","2025-11-26 10:48","2026-05-26 19:00","2026-05-29 07:48","4464:49:48","(Sin valor)","17250000","7740000","15560567.05312338","5950360.84111438","24990000","21510927.89423776","0","Sí","449622.585","9","4.37480301","(Sin valor)","50513280053"
"50700197286","CIRION TECHNOLOGIES COLOMBIA S.A.S","Regulado","Bajo","31101","Análisis comercial (Sales MR)","Andrés Toro García","Bia Network","2025-12-01 11:55","2026-05-26 19:00","2026-05-28 07:48","2140:21:55","(Sin valor)","3576270","8480699.19","42067310.26129088","2161794.08202111","12056969.19","7815021.28395916","983633.26597608","No","163350","9","9.52925992","(Sin valor)","50700197286"
"50701779230","OPERADORA CLUB CK S.A.S","No regulado","Bajo","(Sin valor)","Reunión efectiva (Sales MNR)","María Paula Pico Loaiza","Partnerships","2025-12-01 08:55","2026-02-09 09:01","2026-06-30 16:35","2950:25:27","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","50701779230"
"51960306702","Serviecologico","No regulado","Bajo","37240","Análisis comercial (Sales MNR)","Alexandra Murillo Fagua","Performance","2025-12-16 15:13","2026-05-27 17:30","2026-06-30 15:31","2066:16:48","2026-05-31 17:30","4282600","4041272","11915567.05312338","(Sin valor)","8323872","16472079.89423776","0","Sí","350728.31","6","5.78706364","(Sin valor)","51960306702"
"54010965143","AGRICOLA SUGAR CANE S A S ","Regulado","Bajo","24866","Análisis comercial (Sales MR)","Daniela Dueñas Camacho","KAM","2026-01-15 17:38","2026-05-22 17:00","2026-06-30 17:09","2590:38:00","2026-06-01 17:00","2859475","31849177","3687835.26561689","1410228.2055719","34708652","5098063.47118879","13634432.87005827","Sí","106560","18","29.64549871","(Sin valor)","54010965143"
"54078713125","FRUTERA EL COMPADRE","Regulado","Bajo","3252.5","Reunión efectiva (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-19 09:36","2026-04-13 14:15","2026-03-19 18:16","3071:22:37","(Sin valor)","373980","473558.61","546184.46097941","208860.93787853","847538.61","755045.39885793","0","Sí","15782","9","3.98219455","(Sin valor)","54078713125"
"54205882705","INDUSTRIA CAFETERA DE NARIÑO SAS","Regulado","Bajo","6150.5","Análisis comercial (Sales MR)","Andrés Toro García","Performance","2026-01-19 11:35","2026-05-26 19:00","2026-06-25 07:48","3076:57:06","(Sin valor)","707250","1276189","546184.46097941","208860.93787853","1983439","755045.39885793","0","Sí","15782","9","4.59090287","(Sin valor)","54205882705"
"54267874676","Super Mofles y Servicios ","Regulado","Bajo","1308.5","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-20 16:50","2026-04-17 09:28","2026-02-10 16:24","3144:07:15","(Sin valor)","150420","504150.44","840041.52967641","(Sin valor)","654570.44","(Sin valor)","157145.72595843","Sí","24273","6","7.89551168","(Sin valor)","54267874676"
"54355756108","Centro Comercial Metrópolis MR","Regulado","Bajo","122738.5","Documentos para firma (Sales MR)","Andrés Toro García","Performance","2026-01-22 17:27","2026-05-15 16:35","2026-06-30 16:36","2066:08:45","2026-06-02 19:00","14115100","34285000","29956587.43934937","11455399.0368072","48400100","41411986.47615656","0","Sí","865595.59406","12","10.35484601","(Sin valor)","54355756108"
"54366957487","Panaderia El Muñeco ","Regulado","Bajo","2169","Reunión efectiva (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-23 00:07","2026-04-24 08:00","2026-04-30 09:53","2970:24:46","(Sin valor)","249320","947117.22","1092368.92195882","417721.87575705","1196437.22","1510090.79771587","0","Sí","31564","9","8.72622137","(Sin valor)","54366957487"
"54394599189","Plastimundo","No regulado","Bajo","(Sin valor)","Carta de intención (Sales MNR)","Alexandra Murillo Fagua","Performance","2026-01-23 10:01","2026-05-28 18:00","2026-06-30 14:02","2256:40:15","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","No","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","54394599189"
"54421100842","Auto Centro La 75 ","Regulado","Bajo","1289.5","Análisis comercial (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-23 12:43","2026-04-17 09:28","2026-02-15 14:19","3071:54:08","(Sin valor)","148235","312580","840041.52967641","(Sin valor)","460815","(Sin valor)","0","Sí","24273","6","5.58878979","(Sin valor)","54421100842"
"54616154884","Tigo Colombia ","Regulado","Alto","1654966.5","Análisis comercial (Sales MR)","Yoli Marin","Bia Network","2026-01-27 15:42","2026-05-21 08:00","2026-05-31 19:10","966:50:11","(Sin valor)","190315110","678547534.71","1048578055.004326","109518826.9717198","868862644.71","395917433.06931496","0","No","8275487.72319001","18","17.11085564","(Sin valor)","54616154884"
"54639488661","Centro Comercial Metrópolis","No regulado","Medio","64800","Carta de intención (Sales MNR)","María Paula Pico Loaiza","Awareness","2026-01-27 08:28","2026-04-22 10:09","2026-06-30 17:25","1941:26:12","(Sin valor)","3888000","7740000","11915567.05312338","4556512.84111438","11628000","16472079.89423776","0","No","344300.31","18","14.42352264","(Sin valor)","54639488661"
